Name,Address,Lat,Lng,Phone
Dominican Joes,515 s. Congress Ave 78704,30.2558565,-97.7465575,5124483919
The Station SF,596 Pacific Ave 94113,37.79796066,-122.4071302,4152910690
The station SF,596 Pacific Ave 94113,37.79467,-122.404755,4152910690
Toby's estate,160 5th Ave 10010,40.739865,-73.990861,6465590161
Toby's estate,160 5th Ave 10010,40.738969,-73.991354,6465590161
Toby's Estate,160 5th Ave 10010,40.739939,-73.989658,6465590161
The Bean,824 broadway 10003,40.733226,-73.99123,2125107714
The Bean,824 broadway 10003,40.733515,-73.989535,2125107714
Caffe Medici ,1101 West Lynn 78703 ,30.2795392,-97.7593702,5125245049
Stinson's Rosedale,"4416 Burnet Rd,  78756 ",30.3151275,-97.7417583,5129684970
Wayside,139 E12th Street 10003,40.7319459,-73.990137,6464788702
Wayside,139 E12th Street 10003,40.732198,-73.988299,6464788702
